decision_status,priority,pathway,item_name,gpu_or_soc,vram_gb,unified_memory_gb,screen_size_in,price_aud,au_stock,verification_status,key_blockers,next_action,source_file
VERIFY_NEXT,6,1A,Alienware 16 Area-51 new config,RTX 5070 Ti Mobile,16,UNKNOWN,16,4198.70,UNKNOWN,Unverified,"named exception outside default Lenovo/ASUS/MSI scope; AU stock unknown","Live verify exact GPU VRAM, stock, warranty, thermals, and whether exception remains worth keeping",NotebookLM_Workspaces/04_Laptops_Mainline/intake-036_alienware-16-area-51-new-config.md
VERIFY_NEXT,7,1A,ASUS ROG Strix G16 2025 RTX 5080,NVIDIA RTX 5080 Laptop GPU,16,UNKNOWN,16,4559,UNKNOWN,UNKNOWN,"older non-intake card; stock and current price unknown","Live verify AU stock, price, exact SKU, screen, thermals, warranty",NotebookLM_Workspaces/04_Laptops_Mainline/42_asus-rog-strix-g16-rtx-5080-2025.md
VERIFY_NEXT,8,1A,MSI Crosshair 18 HX AI,RTX 5070 Mobile,16,UNKNOWN,18,UNKNOWN,UNKNOWN,Unverified,"price unknown; AU stock unknown","Live verify current AU price, exact GPU/VRAM, warranty, and thermals",NotebookLM_Workspaces/04_Laptops_Mainline/intake-013_msi-crosshair-18-hx-ai.md
VERIFY_NEXT,9,1A,ASUS ROG Strix Scar 17 G733PY-LL021W,NVIDIA RTX 4090 Laptop GPU,16,UNKNOWN,17.3,5099,UNKNOWN,UNKNOWN,"older non-intake card; about 99 AUD over cap before discounts; stock unknown","Live verify current AU price and discounts; include if effective price <=5000 AUD",NotebookLM_Workspaces/04_Laptops_Mainline/22_asus-rog-strix-scar-17-rtx-4090.md
VERIFY_NEXT,10,1A,ASUS ROG Strix Scar 18 2025 RTX 5090,NVIDIA RTX 5090 Laptop GPU,24,UNKNOWN,18,UNKNOWN,UNKNOWN,UNKNOWN,"shell card only; price and AU stock unknown","Live verify AU stock and price; if <=5000 AUD this becomes a top Track 1 candidate",NotebookLM_Workspaces/04_Laptops_Mainline/30_asus-rog-strix-scar-18-rtx-5090-2025.md
BUY_CANDIDATE,1,2C,HP Z2 Mini G1a AI (Ryzen AI Max PRO 390),AMD Ryzen AI Max PRO 390,UNKNOWN,32,N/A,3395.00,Yes,Verified,"Strix Halo Workstation; 32GB unified (expandable to 128GB); Desktop SFF","Track 2 Unicorn - Best non-portable value",NotebookLM_Workspaces/05_Workstations_Track2/C07_hp_z2_mini_g1a.md
WATCHLIST,12,1B,ASUS TUF Gaming A14 2026 FA401EA,AMD Strix Halo,UNKNOWN,32,14,UNKNOWN,UNKNOWN,UNKNOWN,"very thin card; price, AU stock, SoC, memory config all need confirmation","Create/refresh intake card from live AU source; verify Strix Halo and 32 GB unified config",NotebookLM_Workspaces/04_Laptops_Mainline/asus-tuf-a14.md
WATCHLIST,13,1A,Razer Blade 14 (2026) RZ09-0511,NVIDIA GeForce RTX 5060,8,UNKNOWN,14,3100.00,Yes,User Verified,"16GB soldered RAM; 8GB VRAM; price drop helps but still outclassed by MSI Raider","Keep on watchlist for major discount only",NotebookLM_Workspaces/04_Laptops_Mainline/RZ09-0511_razer_blade_14.md
WATCHLIST,13,1B,ASUS ProArt PX13,AMD Strix Halo,UNKNOWN,128,13.3,UNKNOWN,UNKNOWN,UNKNOWN,"likely over budget unless open-box/refurb/sale; AU stock unknown","Search only for <=5000 AUD new/open-box/refurb AU stock; otherwise keep parked",NotebookLM_Workspaces/04_Laptops_Mainline/asus-proart-px13.md
WATCHLIST,14,1B,ASUS ROG Flow Z13 2025,AMD Ryzen AI Max+ 395,UNKNOWN,UNKNOWN,13,UNKNOWN,UNKNOWN,UNKNOWN,"unified memory unknown; price unknown; AU stock unknown","Verify AU SKU memory config and price before scoring",NotebookLM_Workspaces/04_Laptops_Mainline/asus-rog-flow-z13.md
REJECTED,15,1A,MSI Crosshair 18 HX AI,RTX 5070 Mobile,8,UNKNOWN,18,3385,Yes,Verified,"Verified 8 GB VRAM; below 12 GB floor for Track 1","Reject",NotebookLM_Workspaces/04_Laptops_Mainline/intake-013_msi-crosshair-18-hx-ai.md
BARGAIN_WATCHLIST,16,1A,MSI Raider A18 HX Remanufactured,RTX 4080 Laptop GPU,12,UNKNOWN,18,3972,UNKNOWN,UNKNOWN,"below current 16 GB VRAM floor but strong chassis and price","Park under current policy; revive only if user accepts 12 GB bargain exception",NotebookLM_Workspaces/04_Laptops_Mainline/39_msi-raider-a18-hx-refurb.md
BARGAIN_WATCHLIST,17,1A,MSI Katana 17 HX,RTX 5070 Laptop GPU,8,UNKNOWN,17,2798,UNKNOWN,UNKNOWN,"below current 16 GB VRAM floor; older card says it passed old relaxed 8 GB rule","Reject under current policy, but keep as cheap fallback if budget pressure overrides local-LLM headroom",NotebookLM_Workspaces/04_Laptops_Mainline/40_msi-katana-17-hx.md
BARGAIN_WATCHLIST,18,1A,MSI Vector A18 RTX 5070 Ti,RTX 5070 Ti Laptop GPU,12,UNKNOWN,18,UNKNOWN,UNKNOWN,UNKNOWN,"no full product card found; only reference row exists; below current 16 GB floor","Create/refresh card if user wants 12 GB bargain lane retained",NotebookLM_Workspaces/01_Research_Methods_and_Decision_System/Policy_Pack/expandable_workstation_scoring_policy_pack/candidates_scores.csv
PARKED_OVER_BUDGET,19,1A,ASUS ROG Strix Scar 18 G834JYR-R6037W,NVIDIA RTX 4090 Laptop GPU,16,UNKNOWN,18,6899,UNKNOWN,UNKNOWN,"older non-intake card; far above 5000 AUD cap for same 16 GB VRAM tier","Only revisit after major discount",NotebookLM_Workspaces/04_Laptops_Mainline/23_asus-rog-strix-scar-18-rtx-4090.md
PARKED_OVER_BUDGET,20,1A,MSI Raider 18 HX AI A2XWJG,RTX 5090 Mobile,24,UNKNOWN,18,8488,UNKNOWN,Verified,"price exceeds 5000 AUD cap","Only revisit if price drops below cap or user approves budget exception",NotebookLM_Workspaces/04_Laptops_Mainline/intake-010_msi-raider-18-hx-ai-a2xwjg.md
PARKED_OVER_BUDGET,21,1A,Razer Blade 18,RTX 5090 Mobile,24,UNKNOWN,18,7400,UNKNOWN,Unverified,"price exceeds 5000 AUD cap; outside preferred scope","Only revisit after major discount",NotebookLM_Workspaces/04_Laptops_Mainline/intake-012_razer-blade-18.md
PARKED_BELOW_FLOOR,22,1A,ASUS ROG Strix G18 2025 RTX 5070 Ti,NVIDIA RTX 5070 Ti Laptop GPU,12,UNKNOWN,18,4334,UNKNOWN,UNKNOWN,"below 16 GB VRAM floor","Reject for Track 1 under current AGENTS.md unless user creates a 12 GB bargain exception",NotebookLM_Workspaces/04_Laptops_Mainline/41_asus-rog-strix-g18-rtx-5070ti-2025.md
PARKED_BELOW_FLOOR,23,1A,ASUS ROG Zephyrus G16 2025 RTX 5070,NVIDIA RTX 5070 Laptop GPU,12,UNKNOWN,16,3999,UNKNOWN,UNKNOWN,"below 16 GB VRAM floor","Reject for Track 1 under current AGENTS.md unless user creates a 12 GB bargain exception",NotebookLM_Workspaces/04_Laptops_Mainline/43_asus-rog-zephyrus-g16-rtx-5070-2025.md
PARKED_BELOW_FLOOR,1,1A,Alienware 18 Area-51 (RTX 5070 8GB),NVIDIA RTX 5070 Laptop GPU,8,UNKNOWN,18,3179.00,Yes,Verified,"Fails VRAM floor (8GB < 12GB); despite $3179 price, it does not support CareerCopilot outcomes","Reject for AI development",NotebookLM_Workspaces/04_Laptops_Mainline/intake-073_ebay-shortlink-hxqmlu.md
PARKED_BELOW_FLOOR,25,1A,MSI Stealth 18 HX AI A2XWHG-020NZ,NVIDIA RTX 5070 Ti Laptop,12,UNKNOWN,18,4403.81,Yes,Verified,12GB VRAM requires price <= 3500 AUD; currently 4403.81 AUD,Monitor for price drops below 3500 AUD,NotebookLM_Workspaces/04_Laptops_Mainline/NBKMSI182020_msi_stealth_18_hx.md
PARKED_OVER_BUDGET,26,1A,MSI Vector 17 HX AI A2XWJG-078AU,NVIDIA RTX 5090 Laptop,24,UNKNOWN,17.3,4999.00,Yes,Verified,7299 AUD exceeds 5000 AUD cap,Only revisit if price drops below cap or user approves budget exception,NotebookLM_Workspaces/04_Laptops_Mainline/A2XWJG-078AU_msi_vector_17_hx.md
PARKED_OVER_BUDGET,27,1A,MSI Raider A18 HX A9WIG-082US,NVIDIA GeForce RTX 5080,16,UNKNOWN,18,5359.00,No,Verified,"Landed price in AU exceeds 5000 AUD cap; US Import warranty risk","Monitor for USD price drops below 2800 USD",NotebookLM_Workspaces/04_Laptops_Mainline/A9WIG-082US_msi_raider_a18_hx.md
BUY_CANDIDATE,7,1A,Alienware 18 Area-51 (Refurb AA182502898),NVIDIA GeForce RTX 5080,16,UNKNOWN,18,3179.00,Yes,Verified,"16GB VRAM (RTX 5080); Incredible bargain price for premium chassis","Top value pick for high-end NVIDIA path",NotebookLM_Workspaces/04_Laptops_Mainline/aa182502898_alienware_18_area_51.md
BUY_CANDIDATE,8,1A,Alienware m18 R2 (Refurb laptop4134),NVIDIA GeForce RTX 4090,16,UNKNOWN,18,3899.10,Yes,Verified,"16GB VRAM (RTX 4090); 64GB RAM; Excellent price for flagship compute","Top-tier NVIDIA value pick",NotebookLM_Workspaces/04_Laptops_Mainline/laptop4134_alienware_m18_r2.md
