intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,Seller_Risk_Multiplier,Source_Platform_Penalty,Risk_Adjustment,Adjusted_MCDA_Total,Policy_Status,Policy_Blockers,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
intake-065,Dell OptiPlex 5060 SFF,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,238.99,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-065_dell-optiplex-5060-sff.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-065,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
25_ple-ai-advanced-rtx-5070-ti,PLE AI Advanced RTX 5070 Ti 16 GB Desktop,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,NVIDIA GeForce RTX 5070 Ti (16 GB),16.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/25_ple-ai-advanced-rtx-5070-ti.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,25_ple-ai-advanced-rtx-5070-ti,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
27_scorptec-eclipse-rtx-5070-ti,Scorptec Eclipse RTX 5070 Ti,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,NVIDIA GeForce RTX 5070 Ti (16 GB),16.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/27_scorptec-eclipse-rtx-5070-ti.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,27_scorptec-eclipse-rtx-5070-ti,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-007,PLE AI Advanced RTX 5070 Ti Desktop,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3907.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-007_ple-ai-advanced-rtx-5070-ti-desktop.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-007,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-008,Evatech Y40K RTX 4080 Super Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-008_evatech-y40k-rtx-4080-super-gaming-pc.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-008,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-016,OKINOS Studio Pro - RTX 5070 Ti/3090,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3599.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-016_okinos-studio-pro-rtx-5070-ti3090.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-016,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-017,Budget build,ACTIVE,Desktop,diy build,Complete_System,UNKNOWN,UNKNOWN,RTX 4060 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-017_budget-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-017,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-032,TOPAZ SNOW PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2699.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-032_topaz-snow-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-032,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-033,VISION ONYX PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3999.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-033_vision-onyx-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-033,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-037,Thermaltake Horizon Xtreme tower + X1 Carbon,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4543.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-037_thermaltake-horizon-xtreme-tower-x1-carbon.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-037,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-041,ACT Dell 3650 + A4000,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX A4000,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1800.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-041_act-dell-3650-a4000.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-041,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-043,PLE Pixel 5070 Ti,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3799.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-043_ple-pixel-5070-ti.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-043,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-044,Scorptec Eclipse RTX 5070 Ti Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3399.0,No,,New,UNKNOWN,Verified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-044_scorptec-eclipse-rtx-5070-ti-gaming-pc.md,,Passed gates,AU stock: UNKNOWN,intake-044,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-046,Acer Predator Orion 7000 RTX 4080 refurbished,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3699.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-046_acer-predator-orion-7000-rtx-4080-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-046,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-054,CONSTELLAR ONYX PC — RTX 4080 SUPER,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4080 Super,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4099.0,No,,UNKNOWN,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-054_constellar-onyx-pc-rtx-4080-super.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-054,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-055,Scorptec 32-Core Compute Platform,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX PRO 4000,16.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-055_scorptec-32-core-compute-platform.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-055,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
10_alienware-aurora-r11-rtx-3090-refurbished,Alienware Aurora R11 Gaming PC,ACTIVE,Desktop,desktop_gaming_refurbished,Complete_System,UNKNOWN,UNKNOWN,NVIDIA RTX 3090 (24 GB),24.0,UNKNOWN,UNKNOWN,UNKNOWN,2300.0,No,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/10_alienware-aurora-r11-rtx-3090-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,10_alienware-aurora-r11-rtx-3090-refurbished,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
28_hp-z4-g4-rtx-3090-refurbished,HP Z4 G4 Workstation + Used RTX 3090 24 GB,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,NVIDIA GeForce RTX 3090 (24 GB),24.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cards/28_hp-z4-g4-rtx-3090-refurbished.md,,Passed gates,Price UNKNOWN — research required; Unverified — confirm specs before scoring; AU stock: UNKNOWN,28_hp-z4-g4-rtx-3090-refurbished,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; price UNKNOWN; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-002,Supertech Computers RTX 4090 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5799.0,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-002_supertech-computers-rtx-4090-gaming-pc.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,799.00) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-002,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-003,Dell Precision 5820 Tower Bundle,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3558.0,No,,Refurbished,UNKNOWN,Verified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-003_dell-precision-5820-tower-bundle.md,,Passed gates,,intake-003,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-004,HP Z4 G4 Workstation (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3500.0,No,,Refurbished,UNKNOWN,Unverified,Low,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-004_hp-z4-g4-workstation-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-004,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-005,Dell Precision T7910 (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,1875.0,No,,Refurbished,UNKNOWN,Unverified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-005_dell-precision-t7910-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-005,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-006,Alienware Aurora R12 (Refurbished),ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3884.0,No,,Refurbished,UNKNOWN,Unverified,Yes,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-006_alienware-aurora-r12-refurbished.md,,Passed gates,Unverified — confirm specs before scoring,intake-006,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-019,Pro build,ACTIVE,Desktop,diy build,Complete_System,UNKNOWN,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-019_pro-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-019,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-022,Gaming PC Intel i9-12th Gen NVIDIA RTX 3090,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5271.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-022_gaming-pc-intel-i9-12th-gen-nvidia-rtx-3090.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,271.98) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-022,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
intake-023,Gaming PC Jonsbo MOD 5 ASRock x570 Aqua,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3898.3,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-05_notebooklm_batch1_processed,cards/intake-023_gaming-pc-jonsbo-mod-5-asrock-x570-aqua.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-023,Candidate,,,,,,,,,,,NEEDS_REVIEW,"missing MCDA: Performance_Headroom, Price_Value, Future_Proof, Portability, Track2_Avoidance; AU stock not confirmed; track/pathway unresolved; MCDA score incomplete",,,,,,,,,,,,,,,,
