canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_type,evidence_count,conversation_count,top_conversation_title,sample_excerpt,conversation_ids
UNKNOWN,rtx 5090,UNKNOWN,2648,UNKNOWN,ChatGPT-Export,4,3,RAM upgradeability on ASUS,"### 2) The price is **implausibly low**
This listing is **US$1,900 / about AU$2,648** for an **18-inch Ultra 9 / RTX 5090 / 2TB** Legion 9i.",69e471ea-45b4-839a-969c-c1a32942376a|69e473a6-f9dc-839b-89ea-2b8ce865aba0|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4070 ti,12,2599,UNKNOWN,ChatGPT-Export,4,2,Optimised LLM Cleanup Prompt,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Evatech 7800X3D / RTX 4070 Ti desktop** Historic OzBargain/Evatech listing Ryzen 7 7800X3D; RTX 4070 Ti 12GB; 32GB RAM; 1TB SSD AUD $2,599 historic special; new **12GB VRAM** **Compromise** Good gaming/value d",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7,rtx 4090,16,4399,UNKNOWN,ChatGPT-Export,4,2,Optimised LLM Cleanup Prompt,| **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7 i9-13900HX RTX 4090** Current/reformatted report; BuyWisely/DeviceDeal/Amazon AU class i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2TB SSD; 16-inch 2560×1600,69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
alienware m18,rtx 4090,16,4499,UNKNOWN,ChatGPT-Export,4,2,Optimised LLM Cleanup Prompt,"|
| LP-008 | Unknown | Unknown | AUD $4,499+ class | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Dell Alienware m18 / Area-51 18-inch RTX 4090 class** Dell AU / Dell Outlet path Intel HX i7/i9; RTX 4090 Laptop 16GB where co",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4090,UNKNOWN,3.5,UNKNOWN,ChatGPT-Export,4,2,Refurbished desktop search,"|
| **5** | **RTX 4090 laptop under A$3.5k–4k** | Portable Value Exception | No expansion, but strong if price is sharply discounted.",69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 3080 ti,12,4184.80,UNKNOWN,ChatGPT-Export,4,1,RTX 3080 Ti Laptop Search,"A$4,184.80 \ue200cite\ue202turn36view0\ue201 | RTX 4080 Laptop GPU with 12GB GDDR6; 16-inch 2560\u00d71600 display; title states 240Hz QHD+; i9-13900HX; 32GB RAM; 1TB SSD.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5080,64,7698,UNKNOWN,ChatGPT-Export,3,3,RAM upgradeability on ASUS,"By comparison, Australian retail references for similar Legion 9 Gen 10 configs are far higher:
- Harvey Norman lists an **RTX 5080 / 64GB / 2TB** Legion at **AU$7,698**.",69e471ea-45b4-839a-969c-c1a32942376a|69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4060,8,1888,UNKNOWN,ChatGPT-Export,3,2,Rational Computing Strategy,"- **HP Victus 16.1** — **i7-13700HX**, **RTX 4060 8GB**, **32GB**, **1TB**, **A$1,888** at Harvey Norman.",69d959a3-4650-839f-83e6-f265ebefeb24|69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 4080,12,4.5,UNKNOWN,ChatGPT-Export,3,2,Desktop-replacement Laptop Scan,"On the **new local** side, most realistic under-A$4.5k options are either **RTX 4080 / 12GB** machines discounted into range, or brand-new **RTX 5070 Ti / 12GB** systems.",69e58518-7fb8-83a1-ac74-f78c3c2a0686|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4090,32,3599,UNKNOWN,ChatGPT-Export,3,2,Refurbished desktop search,"**Bottom line:**  
At **A$3,599**, this is a **strong price for a premium RTX 4090 Legion**, especially with 32GB/2TB and upgradeable RAM/storage.",69e88ff7-a4c0-839d-8c99-501b955fa5e8|69f199b8-63a0-839c-9743-426bcea1420e
msi vector a18,rtx 5070 ti,12,3150,https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/,ChatGPT-Export,3,2,Optimised LLM Cleanup Prompt,| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **MSI Vector A18 HX A9WHG-062AU** https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows,69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 3080 ti,24,8,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export,3,1,RTX 3080 Ti Laptop Search,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk ",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion pro 7i,rtx 3080 ti,16,3599,UNKNOWN,ChatGPT-Export,3,1,RTX 3080 Ti Laptop Search,"Lenovo Legion Pro 7i RTX 4090 16GB — claimed around AUD $3,599 via MikePC sale
3.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 3050,4,3139,UNKNOWN,ChatGPT-Export,2,2,Laptop Desktop Pivot Analysis,"Your saved listing is a **17Z90SP-ED7HK**, **Ultra 7 155H**, **RTX 3050 4GB**, **32GB RAM**, **512GB SSD**, around **AU$3,139**, from a seller with **99.3% positive feedback**, **joined in 2020**, **30-day returns**, and shipping from **South Korea**.",69e20cd5-7728-839c-a1e8-c58a361e87a2|69e92985-6e6c-839e-87db-030b32b07464
UNKNOWN,rtx 5080,UNKNOWN,5.7,UNKNOWN,ChatGPT-Export,2,2,MSI Crosshair 18 HX Review,"Within PB Tech’s MSI 18-inch range, the jump to RTX 5080-class 18-inch models is very large, landing around **A$5.7k–A$6.1k**, which makes this Crosshair look like the more pragmatic value tier rather than a compromised near-flagship.",69e642dd-226c-839a-9471-f582f138dec4|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 5070,32,3446.74,UNKNOWN,ChatGPT-Export,2,2,HP ZBook 17 G6 Review,"The Crosshair 18 HX AI model you surfaced is about **A$3,446.74**, but for that extra money you move to a much stronger package: **Core Ultra 9 275HX**, **32GB RAM**, **18-inch QHD+ 240Hz**, **RTX 5070 8GB**, **798 AI TOPS**, **100% DCI-P3** on the display, and a **2-year warrant",69e65d3d-6e64-839a-95ae-c7e77c8a09a9|69e88ff7-a4c0-839d-8c99-501b955fa5e8
UNKNOWN,rtx 5000,64,814,UNKNOWN,ChatGPT-Export,2,2,HP ZBook 17 G6 Review,"**Yes — as a cheap, brute-force desktop-replacement refurb, this is actually quite compelling.**  
At **A$814**, it gives you a **17.3-inch chassis**, **64GB RAM**, a **Quadro/RTX 5000 GPU**, and a **12-month return-to-base warranty** with a **30-day change-of-mind period**.",69e65d3d-6e64-839a-95ae-c7e77c8a09a9|69e88ff7-a4c0-839d-8c99-501b955fa5e8
UNKNOWN,rtx 3090,16,4000,UNKNOWN,ChatGPT-Export,2,2,Optimised LLM Cleanup Prompt,"AUD $4,000–$4,500 **16GB VRAM** **Watchlist** Fast image generation and CUDA, but not as good for 32B models as RTX 3090 24GB.",69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,ChatGPT-Export,2,1,Optimised LLM Cleanup Prompt,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Supertech RTX 4090 Gaming PC** https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; RTX 4090 24GB; 32GB RAM; 1TB Kingston KC3000 SSD; 850W PSU AUD $5,799 sale; new **24GB VRAM / extreme stre",69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 4070,8,2899,UNKNOWN,ChatGPT-Export,2,1,Optimised LLM Cleanup Prompt,"AUD $2,899 in prior review context | **8GB VRAM likely** | **8GB VRAM likely** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Aorus 16X ASG** SMBtech category reference from prior report i9-14900HX; RTX 4070; 16-inch 2560×1600 165Hz Approx.",69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 4070 ti,16,2400,UNKNOWN,ChatGPT-Export,2,1,Optimised LLM Cleanup Prompt,"AUD $2,400–$3,300 | **16GB VRAM external** | **16GB VRAM external** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Minisforum MS-01 + DEG1 OCuLink + RTX 4070 Ti Super 16GB** Stage 2 compact modular path MS-01; DEG1 dock; RTX 4070 Ti Super 16GB; 64GB RAM pr",69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 5090,32,UNKNOWN,https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320,ChatGPT-Export,2,1,High-VRAM Hardware Procurement,"|Retailer|Mwave|[ASUS ROG Astral LC GeForce RTX 5090 OC Edition](https://www.mwave.com.au/product/asus-rog-astral-lc-geforce-rtx-5090-32gb-gddr7-oc-edition-video-card-ac56320)|ASUS ROG Astral LC|RTX 5090 32 GB GDDR7|$6,499|New|In stock【437213846293720†screenshot】|Australia|Liquid",69efa03a-cd58-83a0-b9e1-861507d02eb8
UNKNOWN,rtx 3090,6,11,UNKNOWN,ChatGPT-Export,2,1,RTX 3090 Prebuilt Systems,"| Rank | System & vendor | Approx total cost in AUD | Likely GPU / RAM / storage | Chassis class | Why it appears promising | Concern flags |
|---|---|---|---|---|---|---|
| **1** | **Aftershock Ultrafocus Pro (custom workstation)** | ≈ A$11–12 k (from SGD $10,700)【61076487012502",69f5ad8c-cb34-839a-beac-2ffa0cd19f56
razer blade 18,rtx 3080 ti,16,4789,UNKNOWN,ChatGPT-Export,2,1,RTX 3080 Ti Laptop Search,"Razer Blade 18 RTX 4090 16GB — claimed around AUD $4,789
2.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen 17,rtx 3080 ti,16,3500,UNKNOWN,ChatGPT-Export,2,1,RTX 3080 Ti Laptop Search,"HP Omen 17 RTX 4090 16GB — claimed around AUD $3,500 used/open-box
4.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi vector 16,rtx 3080 ti,UNKNOWN,4.5,UNKNOWN,ChatGPT-Export,2,1,RTX 3080 Ti Laptop Search,"|
| **2** | **New AU RTX 5080 laptop, especially MSI Vector 16 HX AI** | Best one-device laptop path under A$4.5k.",69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5070,8,5298,UNKNOWN,ChatGPT-Export,1,1,Rational Computing Strategy,"- **Predator Triton 14 AI** — **14-inch OLED touchscreen**, **Core Ultra 9-288V**, **RTX 5070 8GB**, **32GB**, **2TB**, **A$5,298** at Harvey Norman.",69d959a3-4650-839f-83e6-f265ebefeb24
UNKNOWN,rtx 5070,64,4999,UNKNOWN,ChatGPT-Export,1,1,Rational Computing Strategy,"citeturn478978view0
- **ASUS ProArt P16** — **16-inch 3K touchscreen**, **Ryzen AI 9 HX 370**, **RTX 5070**, **64GB**, **1TB**, **A$4,999** at Scorptec.",69d959a3-4650-839f-83e6-f265ebefeb24
UNKNOWN,rtx 5070,UNKNOWN,5298,UNKNOWN,ChatGPT-Export,1,1,Rational Computing Strategy,"### 5) **Predator Triton 14 AI RTX 5070**
Technically impressive, but **A$5,298** makes it irrelevant to this budget.",69d959a3-4650-839f-83e6-f265ebefeb24
razer blade 16,rtx 4080,UNKNOWN,3700,UNKNOWN,ChatGPT-Export,1,1,Laptop Desktop Pivot Analysis,"**Razer Blade 16 (2024, RTX 4080 OLED) — best premium one-box**
Your saved Blade 16 listing is surfacing around **AU$3,700** on eBay.",69e20cd5-7728-839c-a1e8-c58a361e87a2
UNKNOWN,rtx 5050,32,2474.25,UNKNOWN,ChatGPT-Export,1,1,Laptop Desktop Pivot Analysis,"| Option | Buy path / price signal | Release | NPU / TOPS | Main upside | Main downside | Score / 100 | Refs |
|---|---|---:|---|---|---|---:|---|
| **LG gram 17 AU (17Z90TL-G.AU88A)** | **A$2,474.25** official AU listing | **2025** | **Yes, 47 TOPS** | Best current **local** sin",69e20cd5-7728-839c-a1e8-c58a361e87a2
razer blade 18,rtx 5090,64,1612,UNKNOWN,ChatGPT-Export,1,1,Suspicious eBay Listing,"This listing shows a **brand-new** Razer Blade 18 with **Ultra 9 275HX, RTX 5090, 64GB RAM, and 4TB SSD** for about **AU$1,612**.",69e44757-2364-83a0-acd0-25e12905cb03
UNKNOWN,rtx 4080,32,3989.05,UNKNOWN,ChatGPT-Export,1,1,Laptop Listings Comparison,"The listing is for a **refurbished Scar 18** with **i9-14900HX, RTX 4080, 32GB RAM, 2TB SSD** at **AU$3,989.05**, sold by the same established AU refurb seller.",69e473a6-f9dc-839b-89ea-2b8ce865aba0
UNKNOWN,rtx 4070,32,3514.05,UNKNOWN,ChatGPT-Export,1,1,Laptop Listings Comparison,"The listing shows **Ryzen AI 9 HX 370, RTX 4070, 32GB, 2TB, 16-inch 4K OLED touch** at **AU$3,514.05**, again from **treasure_pc_online**, with certified-refurb status and a 12-month Asus Australia pickup/return warranty.",69e473a6-f9dc-839b-89ea-2b8ce865aba0
UNKNOWN,rtx 4080,UNKNOWN,3998,UNKNOWN,ChatGPT-Export,1,1,Desktop-replacement Laptop Scan,"The best value clusters are:
- **Local new 18-inch RTX 4080** around **A$3,998–4,499**,
- **Local custom-barebones 17.3-inch RTX 5070 Ti** around **A$3,499**,
- **Imported/refurb 17–18 inch RTX 4090** around **A$3.6k–4.3k raw landed before any uncertain extra charges**.",69e58518-7fb8-83a1-ac74-f78c3c2a0686
UNKNOWN,rtx 5060,8,2508.56,UNKNOWN,ChatGPT-Export,1,1,HP ZBook 17 G6 Review,"**Better than the old ZBook on modern speed; weaker than it on capacity; and probably worse value than the Crosshair.** The PB Tech Katana 17 HX you linked is **A$2,508.56**, with an **i7-14650HX**, **RTX 5060 Laptop GPU 8GB**, **16GB DDR5-5600 (2x8GB)**, **1TB SSD**, and a **17.",69e65d3d-6e64-839a-95ae-c7e77c8a09a9
UNKNOWN,rtx 5060,16,2.5,UNKNOWN,ChatGPT-Export,1,1,HP ZBook 17 G6 Review,"Same broad class of “new gaming laptop,” but this config is only **16GB / RTX 5060 8GB** at about **A$2.5k**, which is a risky amount to spend if the goal is longevity for dev + AI-adjacent work.",69e65d3d-6e64-839a-95ae-c7e77c8a09a9
alienware 18,rtx 5090,64,7198.40,UNKNOWN,ChatGPT-Export,1,1,eBay Listing Credibility Check,"Dell Australia shows an **Alienware 18 Area-51 with RTX 5090** at **AU$7,198.40** for one official config, and Amazon shows a same-spec **64GB / 2TB / RTX 5090** model at **US$4,020**.",69e7cebf-090c-83a1-8137-e5f10ec37f1c
UNKNOWN,rtx 5070 ti,UNKNOWN,4499,UNKNOWN,ChatGPT-Export,1,1,Legion Pro 7i Value,"Lenovo’s own AU search snippets show a **Legion Pro 7i Gen 10 with RTX 5070 Ti at A$4,499**, while Centre Com snippets show the **Legion Pro 7i Gen 10 RTX 5080 at A$5,999**.",69e88ff7-a4c0-839d-8c99-501b955fa5e8
UNKNOWN,rtx 3090,64,2000,UNKNOWN,ChatGPT-Export,1,1,Local LLM Hardware Advice,"Budget is approximately AUD $2,000\u2013$3,500.\n\nI have previously been told that:\n- To run \u201cClaude-level\u201d coding models locally (e.g., Qwen 2.5-Coder 32B, DeepSeek-V3), very large memory is required.\n- Apple Silicon\u2019s unified memory (e.g., 64GB RAM shared with",69ec9edd-918c-839a-8728-2dd1a78a3d95
msi raider 18,rtx 5090,24,UNKNOWN,https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop,ChatGPT-Export,1,1,High-VRAM Hardware Procurement,"|Retailer|JB Hi‑Fi|[MSI Raider 18 HX AI 18″ UHD+ MiniLED 120 Hz](https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop)|MSI Raider 18 HX AI|RTX 5090 Laptop GPU 24 GB|Intel Ultra 9 285HX|128 GB DDR5|10 TB SSD (2 TB + 8 TB)|$11,999 (discounted to $8,488)",69efa03a-cd58-83a0-b9e1-861507d02eb8
alienware m18,rtx 3090,24,2800,UNKNOWN,ChatGPT-Export,1,1,Refurbished desktop search,"| Product type | Worth considering if… | Strong value if… |
|---|---:|---:|
| **Alienware Aurora RTX 3090 24GB** | ≤ **A$2,800** | ≤ **A$2,200** |
| **Alienware Aurora RTX 4090 24GB** | ≤ **A$3,800** | ≤ **A$3,200** |
| **RTX 4090 laptop 16GB** | ≤ **A$4,000** | ≤ **A$3,500** |
|",69f199b8-63a0-839c-9743-426bcea1420e
msi vector 16,rtx 5090,16,UNKNOWN,https://www.centrecom.com.au/msi-vector-16-hx-ai-a2xw-16-core-ultra-9-16gb-1tb-rtx-5090-gaming-laptop-msi-mag-255xf-25-monitor-bundle,ChatGPT-Export,1,1,Refurbished desktop search,"```markdown
<!-- PRODUCT CARD START: MSI Vector 16 HX AI RTX 5090 Bundle -->
### 88 / 110 — MSI Vector 16 HX AI RTX 5090 Bundle
- **Category**: Laptop
- **Condition**: New
- **Price (AUD)**: Verify live Centre Com price
- **Vendor**: Centre Com
- **URL**: https://www.centrecom.co",69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 5070,24,UNKNOWN,https://www.centrecom.com.au/lenovo-loq-173-fhd-i7-24gb-ram-1tb-rtx-5070-gaming-laptop-luna-grey,ChatGPT-Export,1,1,Refurbished desktop search,"```markdown
<!-- PRODUCT CARD START: Lenovo LOQ 17IRX10 RTX 5070 -->
### Rejected Benchmark — Lenovo LOQ 17IRX10 RTX 5070
- **Category**: Laptop
- **Condition**: New
- **Price (AUD)**: $2,099–$2,499 observed
- **Vendor**: Centre Com
- **URL**: https://www.centrecom.com.au/lenovo-",69f199b8-63a0-839c-9743-426bcea1420e
acer predator helios,rtx 4090,16,4449,UNKNOWN,ChatGPT-Export,1,1,Refurbished desktop search,"|
| **6** | **Acer Predator Helios 18 RTX 4090 refurbished** | 18-inch laptop | Refurb 18-inch RTX 4090 16GB laptop with 32GB RAM and 4TB SSD around A$4,449; strong mobile workstation candidate.",69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7i,rtx 5080,16,4498,UNKNOWN,ChatGPT-Export,1,1,Refurbished desktop search,"|
| **7** | **Lenovo Legion Pro 7i RTX 5080 16GB** | High-end laptop | Listed around A$4,498 with upgradeable RAM/SSD; likely a current-gen premium 16GB VRAM laptop benchmark.",69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 5080,16,4899,UNKNOWN,ChatGPT-Export,1,1,Refurbished desktop search,"|
| **8** | **ASUS Zephyrus G16 RTX 5080 16GB** | Creator/gaming laptop | Strong portable 16GB VRAM option at ~A$4,899; relevant for “thin but powerful” category.",69f199b8-63a0-839c-9743-426bcea1420e
msi stealth a16,rtx 5080,16,4999,UNKNOWN,ChatGPT-Export,1,1,Refurbished desktop search,"|
| **9** | **MSI Stealth A16 RTX 5080 16GB** | Creator/gaming laptop | Another 16GB VRAM RTX 5080 laptop candidate, ~A$4,999; useful comparison against Zephyrus and Legion.",69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,ChatGPT-Export,1,1,Refurbished desktop search,"- **Source_Mentions**: Manual Spreadsheet / Product Ledger
- **URLs**: https://supertechcomputers.com.au/product/rtx4090-gaming-pc/
- **Consolidated_Notes**: Supertech RTX 4090 Gaming PC https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; RTX 4090 24GB; 32GB R",69f199b8-63a0-839c-9743-426bcea1420e
