source_type,conversation_file,conversation_title,message_timestamp,candidate_excerpt,gpu_models,vram_gb,price_aud,urls,confidence_score
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **Mike PC OKINOS Studio Pro:** Features a flagship Intel Core i9-14900KF and the crucial refurbished RTX 3090 24GB option, priced aggressively at $3,299 AUD, leveraging refurbished high-VRAM silicon alongside brand-new host components.",RTX 3090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **Titanium PC Signature Build:** Features the AMD Ryzen 7 7700 or 7800X3D and a brand new RX 7900 XTX 24GB, priced at $4,999 AUD after a substantial discount, focusing on gaming and general compute.",RX 7900 XTX,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **Mwave KATANA NITRO L3:** A premium offering pairing the AMD Ryzen 7 9800X3D with the Sapphire Nitro+ Radeon RX 7900 XTX 24GB and an excessive 64GB of DDR5 memory, solving host-side bottlenecks through brute force RAM allocation.",Radeon RX 7900,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                             |
| :--------------------: | :---------------------------------------------------------: |
| **System Integrator**  | Mike PC                                                     |
| **Model Designation**  | OKINOS Studio Pro                                           |
| **Core Components**    | Intel Core i9-14900KF, 32GB DDR5, Refurbished RTX 3090 24GB |",RTX 3090,32,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                      |
| :--------------------: | :--------------------------------------------------: |
| **System Integrator**  | Titanium PC                                          |
| **Model Designation**  | Signature Build (Titanium - RX 7900 XTX)             |
| **Core Components**    | AMD Ryzen 7 7800X3D, 32GB DDR5, New RX 7900 XTX 24GB |",RX 7900 XTX,32,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                                  |
| :--------------------: | :--------------------------------------------------------------: |
| **System Integrator**  | Mwave                                                            |
| **Model Designation**  | KATANA NITRO L3                                                  |
| **Core Components**    | AMD Ryzen 7 9800X3D, 64GB DDR5, Sapphire Nitro+ RX 7900 XTX 24GB |",RX 7900 XTX,64,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,The GeForce RTX 5090 Laptop GPU features a full 24GB of GDDR7 memory.,GeForce RTX 5090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"The mobile RTX 5090 is restricted to a 256-bit memory interface, resulting in a theoretical memory bandwidth of 896 GB/s, which is slightly less than a desktop RTX 3090 (936 GB/s).",RTX 5090 | RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"However, the mobile Blackwell chip counteracts this limitation through immense improvements in FP4 processing capabilities, 5th-generation Tensor Cores, and vast improvements in L2 cache architecture.**The RTX 5090 Mobile Ecosystem in Australia**",RTX 5090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **MSI Raider 18HX AI:** Represents the extreme upper bound of mobile computing, scaling from $9,999 AUD to an astonishing $14,999 AUD, equipped with up to 128GB of RAM and the RTX 5090 24GB.",RTX 5090,128,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                            |
| :--------------------: | :------------------------: |
| **System Integrator**  | Aftershock PC              |
| **Model Designation**  | X-16 PRO                   |
| **Core Components**    | RTX 5090 24GB GDDR7 Mobile |",RTX 5090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"|
| **Cost Efficiency (16/20):**               | At $6,799 AUD, the capital outlay is phenomenally expensive, but it represents the absolute ""budget"" tier of RTX 5090 mobile computing.",RTX 5090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **System Integrator**  | MSI (via JW Computers)                             |
| **Model Designation**  | Raider 18HX AI A2XWJG                              |
| **Core Components**    | Intel Core Ultra 9 285HX, 128GB RAM, RTX 5090 24GB |",RTX 5090,128,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Rubric Scoring Breakdown                   |                                                                                                                                                                             |
| :----------------------------------------: | :-------------------------------------------------------------------------------------------------------------------------------------------------------------------------: |
| **Thermal Sustained Performance (24/25):** | The massive",RTX 5090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"Deploying an RTX 3090 demands high-quality transient response capabilities from the 750W power supply, as Ampere architecture's micro-second power spikes can exceed 500W, potentially triggering system shutdowns.**Secondary Market GPU Acquisition: Navigating the Depths**",RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **RTX 3090:** Reliably transacts on eBay Australia between $1,100 and $1,600 AUD, dependent on the model and condition.",RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"- **RX 7900 XTX:** A brand new ASRock Phantom Gaming or XFX Speedster MERC 310 can be acquired from major retailers for between $1,229 and $1,329 AUD.",RX 7900 XTX,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"| Product Identification |                                                     |
| :--------------------: | :-------------------------------------------------: |
| **System Type**        | Custom DIY Assembly                                 |
| **Core Components**    | Ryzen 5 5600X, B550 Motherboard, 32GB RAM, 750W PSU |
| **GPU Selection**      | Reputable Refurbished/Used NVIDIA RTX 3090 24GB     |",RTX 3090,32,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,**Winner: Mike PC OKINOS Studio Pro (RTX 3090 Refurbished Edition)**,RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,3
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,Software ecosystem stability overwhelmingly favors the RTX 3090's native CUDA integration.**Verdict 2: The Mobile Workstation Paradigm**,RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,**Winner: Aftershock X-16 PRO (RTX 5090)**,RTX 5090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,The only viable path to 24GB mobile VRAM in 2026 is the acquisition of an RTX 5090.,RTX 5090,24,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,**Winner: The 5600X/B550 Platform paired with a New RX 7900 XTX**,RX 7900 XTX,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,"While software stability initially favors the used RTX 3090, the critical tie-breaker of *Hardware reliability and longevity* triggers an override.",RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
Gemini-Export,conversation_1777558354.txt,Summarize this document in 1 paragraph,2026-04-30T14:12:34.962527+00:00,The RTX 3090 silicon is aging and highly prone to irreversible thermal degradation.,RTX 3090,,,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit | https://docs.google.com/document/d/1H-wDfIo9rJDBNrQvUr7Ls7ylfRSTwfxWpJTpOctmlWs/edit | https://drive.google.com/open?id=1zUlPUYrzfKkOwE-Y3yertSmW_pc4kfHS,2
