canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_type,evidence_count,conversation_count,sample_excerpt,conversation_files
UNKNOWN,rtx 5070,8,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,2,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | ASUS TUF Gaming A16                | 2899       | 8        | 32      | RTX 5070        | Ryzen 9 8940HX       | New         | Scorptec        | UNKNOWN        | Basic            | Entry           | Budget option, but limited by ",conversation_1777955851.txt
UNKNOWN,rtx 3090,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"While 12GB and 16GB tiers limit users to smaller or aggressively quantized models with constrained context windows, the 24GB tier—epitomized by the financially sound used RTX 3090 in the Australian market—allows for running flagship models like Gemma 4 31B and Llama 4 Scout with ",conversation_1777558354.txt
UNKNOWN,rx 7900 xtx,32,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"| Product Identification |                                                      |
| :--------------------: | :--------------------------------------------------: |
| **System Integrator**  | Titanium PC                                          |
| **Model Designation**  | Signatu",conversation_1777558354.txt
UNKNOWN,rx 7900 xtx,64,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"| Product Identification |                                                                  |
| :--------------------: | :--------------------------------------------------------------: |
| **System Integrator**  | Mwave                                                            ",conversation_1777558354.txt
msi raider 18hx,rtx 5090,128,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"- **MSI Raider 18HX AI:** Represents the extreme upper bound of mobile computing, scaling from $9,999 AUD to an astonishing $14,999 AUD, equipped with up to 128GB of RAM and the RTX 5090 24GB.",conversation_1777558354.txt
UNKNOWN,rtx 5090,128,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **System Integrator**  | MSI (via JW Computers)                             |
| **Model Designation**  | Raider 18HX A",conversation_1777558354.txt
UNKNOWN,rtx 5070 ti,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"| Product\_or\_Build                                              | Category                             | Status                | Price\_AUD | GPU\_VRAM\_or\_Unified | RAM\_GB | Notes                                                                                    |
| :-------",conversation_1777558354.txt
UNKNOWN,rtx 3090,64,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"| Product\_or\_Build         | Category                             | Status                | Price\_AUD     | GPU\_VRAM\_or\_Unified | RAM\_GB | Notes                        |
| :------------------------: | :----------------------------------: | :-------------------: | :--------",conversation_1777558354.txt
UNKNOWN,rtx 4090,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,1,1,"This links VRAM capacity directly to user experience performance (e.g., 24GB RTX 4090 = 34 t/s on DeepSeek-R1 32B).",conversation_1777558354.txt
UNKNOWN,rtx 5070 ti,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-26  | 3        | Desktop    | Sunder RTX 5070 Ti Gaming PC       | 4099       | 16       | 32      | RTX 5070 Ti     | Core Ultra 7 270K    | New         | Scorptec        | Slotted        | FLUX             | Mid             | B860 platform; premium tier pr",conversation_1777955851.txt
lenovo legion 7i,rtx 5070,8,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion 7i 16IAX10           | 3299       | 8        | 32      | RTX 5070        | Core Ultra 9 275     | New         | Scorptec        | UNKNOWN        | Basic            | Entry           | 8GB VRAM limits local image/LL",conversation_1777955851.txt
msi raider ge78,rtx 5090,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | MSI Raider GE78 HX 14V             | 5299       | 16       | 64      | RTX 5090        | Core i9 14900HX      | New         | Scorptec        | UNKNOWN        | FLUX             | High            | Desktop replacement tier; mass",conversation_1777955851.txt
UNKNOWN,rtx 5080,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-27  | 3        | Desktop    | Scorptec Sentinel RTX 5080         | 4899       | 16       | 32      | RTX 5080        | Ryzen 9 9900X        | New         | Scorptec        | Slotted        | FLUX             | High            | High-performance workstation/g",conversation_1777955851.txt
UNKNOWN,rtx 4060,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-28  | 3        | Desktop    | Budget RTX 4060 Build              | 1299       | 8        | 16      | RTX 4060        | Ryzen 5 5600         | New         | Centre Com      | Slotted        | Basic            | Entry           | Entry-level 1080p gaming.",conversation_1777955851.txt
UNKNOWN,rtx 4070,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-28  | 3        | Desktop    | Mid-Range RTX 4070 Super           | 2199       | 12       | 32      | RTX 4070 Super  | Ryzen 7 7800X3D      | New         | Centre Com      | Slotted        | Strong           | Mid             | Best value for gaming performa",conversation_1777955851.txt
UNKNOWN,rtx 4050,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-29  | 1        | Laptop     | HP Victus 15                       | 1149       | 6        | 16      | RTX 4050        | Core i5 13420H       | New         | JB Hi-Fi        | UNKNOWN        | Basic            | Entry           | Budget laptop for light tasks.",conversation_1777955851.txt
razer blade 14,rtx 4070,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-29  | 1        | Laptop     | Razer Blade 14                     | 3899       | 8        | 16      | RTX 4070        | Ryzen 9 8945HS       | New         | JB Hi-Fi        | UNKNOWN        | Strong           | Entry           | Portable power; expensive for ",conversation_1777955851.txt
msi vector a18,rtx 5070 ti,16,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | MSI Vector A18 HX A9WHG            | 3150       | 12       | 32      | RTX 5070 Ti     | Ryzen 9 9955HX       | Ex-display  | TECS            | Likely good    | Strong           | Moderate-Strong | Good screen and current GPU; n",conversation_1777955851.txt
asus rog strix g16,rtx 5070,8,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,1,1,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | ASUS ROG Strix G16                 | 3399       | 8        | 32      | RTX 5070        | Core i7-14650HX      | New         | Scorptec        | UNKNOWN        | Basic            | Entry           | Premium laptop build but still",conversation_1777955851.txt
