source_type,conversation_id,conversation_title,message_timestamp,candidate_excerpt,gpu_models,vram_gb,price_aud,urls,filter_basis,confidence_score
ChatGPT-Export,69e47313-c634-83a1-aa81-1db5c208986e,HP Spectre x360 Review,2026-04-21T04:07:51.212177+00:00,"This is the **HP Spectre x360 16 (2024)** listing at about **AU$2,299**, advertised as **brand new**, with **Intel Core Ultra 7 155H, 32GB LPDDR5x RAM, 1TB SSD, 16-inch 2.8K OLED touch display, Windows 11 Pro, and RTX 4050 graphics**.",RTX 4050,32,2299,,hardware_term_cluster,3
ChatGPT-Export,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,2026-04-19T07:22:20.750137+00:00,"The listing is for a **refurbished Scar 18** with **i9-14900HX, RTX 4080, 32GB RAM, 2TB SSD** at **AU$3,989.05**, sold by the same established AU refurb seller.",RTX 4080,32,3989.05,,project_term,3
ChatGPT-Export,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,2026-04-19T07:22:20.750137+00:00,"The listing shows **Ryzen AI 9 HX 370, RTX 4070, 32GB, 2TB, 16-inch 4K OLED touch** at **AU$3,514.05**, again from **treasure_pc_online**, with certified-refurb status and a 12-month Asus Australia pickup/return warranty.",RTX 4070,32,3514.05,,project_term,3
ChatGPT-Export,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,2026-04-19T07:22:20.750137+00:00,"Meanwhile Dell Australia’s own Area-51 page shows the **RTX 5090 configuration at AU$7,198.40** and the platform is a very large machine at up to **4.34 kg**, with upgradeable memory/storage documented by Dell support.",RTX 5090,,7198.40,,project_term,3
ChatGPT-Export,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,2026-04-19T07:22:20.750137+00:00,"The HP Official Store listing on eBay AU shows the Spectre x360 16 **32GB/1TB/RTX 4050** at about **AU$4,124**, which is premium pricing for hardware that is not premium-workstation class anymore.",RTX 4050,32,4124,,project_term,3
ChatGPT-Export,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,2026-04-20T03:08:49.381273+00:00,"On the **new local** side, most realistic under-A$4.5k options are either **RTX 4080 / 12GB** machines discounted into range, or brand-new **RTX 5070 Ti / 12GB** systems.",RTX 4080 | RTX 5070 Ti,12,4.5,,project_term,3
ChatGPT-Export,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,2026-04-20T03:08:49.381273+00:00,"The best value clusters are:
- **Local new 18-inch RTX 4080** around **A$3,998–4,499**,
- **Local custom-barebones 17.3-inch RTX 5070 Ti** around **A$3,499**,
- **Imported/refurb 17–18 inch RTX 4090** around **A$3.6k–4.3k raw landed before any uncertain extra charges**.",RTX 4080 | RTX 5070 Ti | RTX 4090,,3998 | 3499 | 3.6,,project_term,3
ChatGPT-Export,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,2026-04-20T03:08:49.381273+00:00,"In this segment, refurb/high-confidence used can be the difference between:
- **RTX 4080 / 12GB new**, and
- **RTX 4090 / 16GB used/refurb**  
while staying inside the same A$3.8k–4.3k budget zone.",RTX 4080 | RTX 4090,12,3.8,,project_term,3
ChatGPT-Export,69e642dd-226c-839a-9471-f582f138dec4,MSI Crosshair 18 HX Review,2026-04-20T15:20:46.712328+00:00,"Within PB Tech’s MSI 18-inch range, the jump to RTX 5080-class 18-inch models is very large, landing around **A$5.7k–A$6.1k**, which makes this Crosshair look like the more pragmatic value tier rather than a compromised near-flagship.",RTX 5080,,5.7 | 6.1,,hardware_term_cluster,3
ChatGPT-Export,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,2026-04-20T17:30:41.441907+00:00,"**Better than the old ZBook on modern speed; weaker than it on capacity; and probably worse value than the Crosshair.** The PB Tech Katana 17 HX you linked is **A$2,508.56**, with an **i7-14650HX**, **RTX 5060 Laptop GPU 8GB**, **16GB DDR5-5600 (2x8GB)**, **1TB SSD**, and a **17.3-inch QHD 240Hz** panel.",RTX 5060,8,2508.56,,hardware_term_cluster,3
ChatGPT-Export,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,2026-04-20T17:30:41.441907+00:00,"The Crosshair 18 HX AI model you surfaced is about **A$3,446.74**, but for that extra money you move to a much stronger package: **Core Ultra 9 275HX**, **32GB RAM**, **18-inch QHD+ 240Hz**, **RTX 5070 8GB**, **798 AI TOPS**, **100% DCI-P3** on the display, and a **2-year warranty**.",RTX 5070,32,3446.74,,hardware_term_cluster,3
ChatGPT-Export,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,2026-04-20T17:30:41.441907+00:00,"Same broad class of “new gaming laptop,” but this config is only **16GB / RTX 5060 8GB** at about **A$2.5k**, which is a risky amount to spend if the goal is longevity for dev + AI-adjacent work.",RTX 5060,16,2.5,,hardware_term_cluster,3
ChatGPT-Export,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,2026-04-20T17:30:41.441907+00:00,"**Yes — as a cheap, brute-force desktop-replacement refurb, this is actually quite compelling.**  
At **A$814**, it gives you a **17.3-inch chassis**, **64GB RAM**, a **Quadro/RTX 5000 GPU**, and a **12-month return-to-base warranty** with a **30-day change-of-mind period**.",RTX 5000,64,814,,hardware_term_cluster,3
ChatGPT-Export,69e7cebf-090c-83a1-8137-e5f10ec37f1c,eBay Listing Credibility Check,2026-04-21T19:25:36.818063+00:00,"Dell Australia shows an **Alienware 18 Area-51 with RTX 5090** at **AU$7,198.40** for one official config, and Amazon shows a same-spec **64GB / 2TB / RTX 5090** model at **US$4,020**.",RTX 5090,64,7198.40,,project_term,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"At **A$3,599**, the Mike PC listing gives you an i9-14900HX, RTX 4090 16GB, 32GB DDR5, 2TB SSD, and a 16-inch 2560×1600 240Hz display, and it is explicitly described as a **demo unit** with **1-year Lenovo Australia manufacturer warranty**.",RTX 4090,16,3599,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"Lenovo’s own AU search snippets show a **Legion Pro 7i Gen 10 with RTX 5070 Ti at A$4,499**, while Centre Com snippets show the **Legion Pro 7i Gen 10 RTX 5080 at A$5,999**.",RTX 5070 Ti | RTX 5080,,4499 | 5999,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"**Bottom line:**  
At **A$3,599**, this is a **strong price for a premium RTX 4090 Legion**, especially with 32GB/2TB and upgradeable RAM/storage.",RTX 4090,32,3599,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"| Rank | Machine | Why it lands here |
|---|---|---|
| **1** | **Lenovo Legion Pro 7i, i9-14900HX, RTX 4090, 32GB/2TB, A$3,599** | Best blend of **raw performance, VRAM, upgradeability, and price**.",RTX 4090,32,3599,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"citeturn802707search3turn550237search0turn550237search3 |
| **2** | **MSI Crosshair 18 HX AI, Ultra 9 275HX, RTX 5070, 32GB/1TB, ~A$3,775–3,939** | Better **screen-size fit** at 18"", newer platform, 2-year warranty on the PB Tech listing, but much weaker GPU value because it is only an **RTX 5070 8GB** at a higher price than the Legion.",RTX 5070,32,3775,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"citeturn802707search0turn550237search1turn550237search4turn550237search12 |
| **3** | **HP ZBook 17 G6, i9-9880H, Quadro RTX 5000, 64GB/512GB, ~A$789–814 refurb** | Absurdly cheap for a 17.3"" machine with 64GB RAM and 16GB GPU VRAM, but it is **much older**, far slower CPU-wise, and much less compelling as a 3–5 year primary machine.",RTX 5000,64,789,,hardware_term_cluster,3
ChatGPT-Export,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,2026-04-22T19:57:31.182944+00:00,"Your Mike PC unit is **A$3,599** for an **RTX 4090 16GB** machine with **32GB DDR5**, **2TB SSD**, and Lenovo’s Legion Pro 7 platform, which supports **2x DDR5 SODIMM slots** and **2x M.2 PCIe 4.0 SSDs**.",RTX 4090,16,3599,,hardware_term_cluster,3
ChatGPT-Export,69e92985-6e6c-839e-87db-030b32b07464,eBay LG Gram 17 Review,2026-04-22T20:05:06.192439+00:00,"The eBay listing is for an **LG Gram 17 (2023)** with **13th-gen i7**, **RTX 3050 4GB**, and an asking price of **AU$2,990** plus **AU$200 postage**, with **no returns accepted**.",RTX 3050,4,2990 | 200,,hardware_term_cluster,3
ChatGPT-Export,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,2026-04-25T20:52:26.845431+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69ec9edd-918c-839a-8728-2dd1a78a3d95,Local LLM Hardware Advice,2026-04-25T20:52:26.845431+00:00,"Budget is approximately AUD $2,000\u2013$3,500.\n\nI have previously been told that:\n- To run \u201cClaude-level\u201d coding models locally (e.g., Qwen 2.5-Coder 32B, DeepSeek-V3), very large memory is required.\n- Apple Silicon\u2019s unified memory (e.g., 64GB RAM shared with GPU) is a strong way to run large local models.\n- Windows systems typically rely on discrete NVIDIA GPUs and may need 24GB+ of GPU VRAM (RTX 3090, 4090, 5090 tier) to host such models comfortably.\n- A custom desktop t",RTX 3090,64,2000,,project_term,3
ChatGPT-Export,69ece4a2-e3d4-83a0-93dd-ee742c723a32,Product Ledger Setup,2026-04-25T16:20:54.913194+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69ed0427-372c-8398-86ae-b5b3218e3a19,Optimized Research Output,2026-04-25T21:06:19.737511+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69ed1750-d30c-839b-aff3-aa4d9bafeec2,AI Agent Prompt Review,2026-04-25T19:37:25.599149+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69ed18c6-9e2c-839a-a64d-b7f54af4b8a2,PC Shopping Agent,2026-04-25T20:28:31.142623+00:00,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but private-sale GPU risk is high.",RTX 3090,24,,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"Downrank or exclude:
- listings with no exact GPU model
- listings with no VRAM information where VRAM is critical
- RTX 4060 / RTX 4060 Ti laptops unless extremely cheap
- RTX 4070 laptops unless the whole machine is unusually good value
- 8GB VRAM machines above AUD $2,500
- 12GB VRAM machines above AUD $3,500 unless there is a strong large-screen/condition/warranty reason
- sellers with poor feedback or very low feedback
- listings with stock photos only
- listings with “no returns” plus uncl",RTX 4060 | RTX 4060 Ti | RTX 4070,8,2500 | 3500,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $3,400–$4,600 bundle | **24GB VRAM / strongest value** | **24GB VRAM / strongest value** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Custom RTX 3090 24GB desktop + refurbished ThinkPad bundle** Prior Stage 2 shortlist Ryzen 7 7700 / 7800X3D / i7-class; RTX 3090 24GB; 64GB RAM preferred; 2TB NVMe; 850W Gold PSU; refurb ThinkPad-class laptop Est.",RTX 3090,24,3400,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| DT-002 | Unknown | Unknown | AUD $1,799 GPU; 12-month warranty noted in prior research | **24GB VRAM** | **24GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Mike PC MSI RTX 3090 AERO 24GB GPU build route** https://mikepc.com.au/products/msi-rtx-3090-aero-24gb-graphics-card RTX 3090 AERO 24GB GPU used as build anchor AUD $1,799 GPU; 12-month warranty noted in prior research **24GB VRAM** **Active shortlist** Verify immediate stock/ETA, GPU condition, invoice/w",RTX 3090,24,1799,https://mikepc.com.au/products/msi-rtx-3090-aero-24gb-graphics-card,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Supertech RTX 4090 Gaming PC** https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; RTX 4090 24GB; 32GB RAM; 1TB Kingston KC3000 SSD; 850W PSU AUD $5,799 sale; new **24GB VRAM / extreme stretch** **Watchlist** Highest raw local-AI capability in previous report, but beyond preferred budget and likely overkill unless 24GB VRAM is non-negotiable.",RTX 4090 | rtx4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Nebula PC R7 7800X3D / RTX 4080 desktop** Prior OzBargain/Nebula listing Ryzen 7 7800X3D; RTX 4080 16GB; 16GB DDR5; 1TB NVMe AUD $2,948 after coupon; historic deal **16GB VRAM** **Active shortlist if deal returns** Strong value, but RAM should be upgraded to 32GB/64GB.",RTX 4080,16,2948,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **PLE AI Advanced RTX 5070 Ti 16GB desktop** PLE AI development build referenced in Stage 2 Ryzen 7 9700X; RTX 5070 Ti 16GB; 32GB DDR5-6000; 2TB NVMe AUD $3,907; built to order **16GB VRAM** **Active shortlist** Clean AU retail path under $4k; 16GB VRAM ceiling is the main compromise.",RTX 5070 Ti,16,3907,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $4,000–$4,500 | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **RTX 4080 Super 16GB desktop / refurbished MSI Infinite X2 class** Mwave / Mike PC / eBay AU class from Stage 2 i7-14700F/KF-class; RTX 4080 Super 16GB; 32GB RAM; 2TB SSD class Est.",RTX 4080,16,4000,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"AUD $4,000–$4,500 **16GB VRAM** **Watchlist** Fast image generation and CUDA, but not as good for 32B models as RTX 3090 24GB.",RTX 3090,16,4000,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **CONSTELLAR ONYX PC — RTX 4080 SUPER** Mike PC AU product-search result RTX 4080 Super desktop; other specs not retained AUD $4,099; condition UNKNOWN **16GB VRAM** **Watchlist** Needs direct verification of CPU, RAM, SSD, PSU, warranty, stock, and return policy.",RTX 4080,16,4099,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| DT-008 | Unknown | Unknown | AUD $4,988; new/retail assumed | **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Acer Predator Orion 7000 RTX 4080 SUPER desktop** Domayne + other merchants product-search result RTX 4080 Super desktop; other specs not retained AUD $4,988; new/retail assumed **16GB VRAM** **Compromise / over-budget warning** Above target budget; only relevant if discounted heavily or bundled with strong warranty.",RTX 4080,16,4988,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Evatech 7800X3D / RTX 4070 Ti desktop** Historic OzBargain/Evatech listing Ryzen 7 7800X3D; RTX 4070 Ti 12GB; 32GB RAM; 1TB SSD AUD $2,599 historic special; new **12GB VRAM** **Compromise** Good gaming/value desktop, but 12GB VRAM limits serious local-AI trajectory.",RTX 4070 Ti,12,2599,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Acer Predator Orion 7000 / other RTX 4080S retail desktops** General desktop route from Stage 2 RTX 4080 Super 16GB; CPU/RAM vary AUD $4.5k–$5k+ class **16GB VRAM** **Watchlist** Use only where warranty and discount are strong.,RTX 4080,16,4.5,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7i i9-14900HX RTX 4090** https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty i9-14900HX; RTX 4090 Laptop 16GB; 32GB/64GB DDR5; 2TB SSD; 16-inch 2K/240Hz; 1-year warranty Prior Mike PC listing around AUD $3,599–$4,399 depending config **16GB VRAM** **Active shortlist** Best emotional-but-defensible one-machine route if price is closer to $3.6k and ideally 64GB ",RTX 4090,32,3599,https://mikepc.com.au/products/lenovo-legion-pro-7i-i9-14900hx-32gb-2tb-ssd-rtx-4090-2k-240hz-1y-wty,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"| **16GB VRAM** | **16GB VRAM** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7 i9-13900HX RTX 4090** Current/reformatted report; BuyWisely/DeviceDeal/Amazon AU class i9-13900HX; RTX 4090 Laptop 16GB; 32GB RAM; 2TB SSD; 16-inch 2560×1600 240Hz AUD $4,399–$4,575 class; stock variable **16GB VRAM** **Watchlist** Powerful, but laptop tax remains high.",RTX 4090,16,4399,,project_term,3
ChatGPT-Export,69ed2fce-3f58-839f-8c8d-8004b0e18992,Optimised LLM Cleanup Prompt,2026-04-26T09:15:32.228689+00:00,"|
| LP-003 | Unknown | Unknown | AUD $5,999 in search result | **Likely 16GB VRAM if RTX 4090** | **Likely 16GB VRAM if RTX 4090** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Lenovo Legion Pro 7i direct Lenovo option** Lenovo + other merchants product-search result Legion Pro 7i gaming laptop; exact config not retained AUD $5,999 in search result **Likely 16GB VRAM if RTX 4090** **Rejected / overpriced unless discounted** Direct Lenovo price too high unless education/b",RTX 4090,16,5999,,project_term,3
