intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,seller_class,source_platform,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,seller_risk_score,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,warranty_months_confirmed,acl_covered
fb-021,ROG ZEPHYRUS G14 and Meta quest 3s bundle (Will swap),ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1200.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-021_rog-zephyrus-g14-and-meta-quest-3s-bundle-will-swap.md,,Passed gates,Unverified — confirm specs before scoring,fb-021,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-025,"HP ZBook 15 G4 i7 7820HQ 2.9G 16G 512G SSD 15.6""FHD nVidia GPU 4G Backlit Laptop Win11Pro Office",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,15.6,UNKNOWN,420.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-025_hp-zbook-15-g4-i7-7820hq-29g-16g-512g-ssd-156fhd-nvidia-gpu.md,,Passed gates,Unverified — confirm specs before scoring,fb-025,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-027,Laptop Dell Inspiron i7 8th Gen | Radeon Graphics | 256GB SSD | Win 11 Pro | 15.6”,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-027_laptop-dell-inspiron-i7-8th-gen-radeon-graphics-256gb-ssd-wi.md,,Passed gates,Unverified — confirm specs before scoring,fb-027,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-029,Razer Blade 15 2020 Gaming Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,900.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-029_razer-blade-15-2020-gaming-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-029,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-030,Metabox Gaming laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,450.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-030_metabox-gaming-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-030,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-031,Lenovo gaming laptop legion 7i,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3099.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-031_lenovo-gaming-laptop-legion-7i.md,,Passed gates,Unverified — confirm specs before scoring,fb-031,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-035,"HP Spectre x360 convertible 13 inch i7 8th gen laptop with HP pen, new 1tb SSD and sleeve/bag",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,13.0,UNKNOWN,950.0,No,,New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-035_hp-spectre-x360-convertible-13-inch-i7-8th-gen-laptop-with-h.md,,Passed gates,Unverified — confirm specs before scoring,fb-035,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-036,Laptop Gamer Alienware x16 R1 (i9 13900HK / RTX 4080 / 32GB RAM /QHD+ 240Hz / 1TB Nvme),ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4080,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3000.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-036_laptop-gamer-alienware-x16-r1-i9-13900hk-rtx-4080-32gb-ram-q.md,,Passed gates,Unverified — confirm specs before scoring,fb-036,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-037,MSI GF65 Thin gaming laptop (Model 10UE),ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,690.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-037_msi-gf65-thin-gaming-laptop-model-10ue.md,,Passed gates,Unverified — confirm specs before scoring,fb-037,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-038,MSI GF63 Gaming Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,650.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-038_msi-gf63-gaming-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-038,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-039,HP Laptop Dual Hard Drive/ Graphics Card/DVD Drive,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,250.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-039_hp-laptop-dual-hard-drive-graphics-carddvd-drive.md,,Passed gates,Unverified — confirm specs before scoring,fb-039,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-040,Msi 5070 ti ventus,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1200.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-040_msi-5070-ti-ventus.md,,Passed gates,Unverified — confirm specs before scoring,fb-040,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-045,Dell Latitude 3540 Laptop – 13th Gen i5 / 16GB RAM / 512GB NVMe SSD,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,500.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-045_dell-latitude-3540-laptop-13th-gen-i5-16gb-ram-512gb-nvme-ss.md,,Passed gates,Unverified — confirm specs before scoring,fb-045,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-047,Full-Power RTX 3070 140W / i7 / 32GB RAM / 1TB SSD – Aftershock Vapor 15X Gaming Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3070,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1250.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-047_full-power-rtx-3070-140w-i7-32gb-ram-1tb-ssd-aftershock-vapo.md,,Passed gates,Unverified — confirm specs before scoring,fb-047,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-049,Gaming laptop Hp Victus,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,700.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-049_gaming-laptop-hp-victus.md,,Passed gates,Unverified — confirm specs before scoring,fb-049,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-050,Asus Rog Ally X,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1300.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-050_asus-rog-ally-x.md,,Passed gates,Unverified — confirm specs before scoring,fb-050,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-052,512GB NVMe SSD – Fast Upgrade,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,75.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-052_512gb-nvme-ssd-fast-upgrade.md,,Passed gates,Unverified — confirm specs before scoring,fb-052,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-054,5070Ti TUF Gaming,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1350.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-054_5070ti-tuf-gaming.md,,Passed gates,Unverified — confirm specs before scoring,fb-054,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-056,"Medion Erazer Crawler E10 Gaming Laptop (i5-10300H, GTX 1650 4GB, 16GB RAM, 256GB SSD)",ACTIVE,Laptop,laptop,Complete_System,1,1A,GTX 1650,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,490.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-056_medion-erazer-crawler-e10-gaming-laptop-i5-10300h-gtx-1650-4.md,,Passed gates,Unverified — confirm specs before scoring,fb-056,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-059,Have a 1 month old 4070 ti OC Windforce 16gb,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,No,,New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-059_have-a-1-month-old-4070-ti-oc-windforce-16gb-looking-to-trad.md,,Passed gates,Unverified — confirm specs before scoring,fb-059,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-060,"MSI M.2 XPANDER-AERO GEN 4 - Brand New, Never Used",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,50.0,No,,New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-060_msi-m2-xpander-aero-gen-4-brand-new-never-used.md,,Passed gates,Unverified — confirm specs before scoring,fb-060,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-063,⭐️$1650⭐️ Dell XPS 15 9520 i9-12900hk 64GB Ram + 1TB SSD OLED RTX 3050 Ti Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1650.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-063_1650-dell-xps-15-9520-i9-12900hk-64gb-ram-1tb-ssd-oled-rtx-3.md,,Passed gates,Unverified — confirm specs before scoring,fb-063,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-064,Lenovo Legion 5 Ryzen 7 6800H RTX 3060 16GB DDR5 QHD 165Hz,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3060,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1099.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-064_lenovo-legion-5-ryzen-7-6800h-rtx-3060-16gb-ddr5-qhd-165hz.md,,Passed gates,Unverified — confirm specs before scoring,fb-064,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-065,Lenovo Z50 i7 256GB SSD 6GB RAM 2GB Graphic,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,180.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-065_lenovo-z50-i7-256gb-ssd-6gb-ram-2gb-graphic.md,,Passed gates,Unverified — confirm specs before scoring,fb-065,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-066,"$440 📺 OLED screen ASUS Pro 15.6inch,",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,15.6,UNKNOWN,440.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-066_440-oled-screen-asus-pro-156inch-amd-ryzen-5-5600h-with-grap.md,,Passed gates,Unverified — confirm specs before scoring,fb-066,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-067,"$440 🏵️ OLED Screen ASUS VivoBook Pro 15, Best quality screen, 15.6inch, 8GB Ram Ryzon 5 5600H",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,15.6,UNKNOWN,440.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-067_440-oled-screen-asus-vivobook-pro-15-best-quality-screen-156.md,,Passed gates,Unverified — confirm specs before scoring,fb-067,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-068,MSI laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,799.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-068_msi-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-068,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-069,HP Victus Gaming Laptop - RRP $1499,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,699.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-069_hp-victus-gaming-laptop-rrp-1499.md,,Passed gates,Unverified — confirm specs before scoring,fb-069,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-070,MSI Creator P100 computer black,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1000.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-070_msi-creator-p100-computer-black.md,,Passed gates,Unverified — confirm specs before scoring,fb-070,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-072,Lenovo ThinkPad P52 i7 6cores 16G 512G SSD NVIDIA 4GB GPU 15.6 inchFHD Laptop MobileStation,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,600.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-072_lenovo-thinkpad-p52-i7-6cores-16g-512g-ssd-nvidia-4gb-gpu-15.md,,Passed gates,Unverified — confirm specs before scoring,fb-072,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-073,ASUS ROG Zephyrus M16 Laptop! RTX 3050 Ti 16inch Laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 3050,UNKNOWN,UNKNOWN,16.0,UNKNOWN,1400.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-073_asus-rog-zephyrus-m16-laptop-rtx-3050-ti-16inch-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-073,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-074,10th generation 16 gig ram DELL laptop,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,399.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-074_10th-generation-16-gig-ram-dell-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-074,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-075,Acer TravelMate P214-52 14” Laptop i7-10510U/512GB/8GB/RAM/ WIN 11 Pro,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,299.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-075_acer-travelmate-p214-52-14-laptop-i7-10510u512gb8gbram-win-1.md,,Passed gates,Unverified — confirm specs before scoring,fb-075,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-076,"$1,050 👾(Box) Like New MSI Gaming Laptop, Katana 15, Core i7-14650HX 16GB RAM 1TB SSD, 100% battery",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1050.0,No,,Like_New,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-076_1050-box-like-new-msi-gaming-laptop-katana-15-core-i7-14650h.md,,Passed gates,Unverified — confirm specs before scoring,fb-076,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-078,"Dell Precision 5530 i7-8850H + 32gb RAM 15.6"" Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,550.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-078_dell-precision-5530-i7-8850h-32gb-ram-156-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-078,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-080,$450 Dell 5320 i7-11857G @ 3.00Ghz 16/256 Touch Screen intel iris(R) XE Graphics,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,440.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-080_450-dell-5320-i7-11857g-300ghz-16256-touch-screen-intel-iris.md,,Passed gates,Unverified — confirm specs before scoring,fb-080,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-081,Lenovo Thinkpad L15 Gen 2a AMD Ryzen 7Pro 5850U 16GB Ram 512GB SSD Win 11 Pro,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,800.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-081_lenovo-thinkpad-l15-gen-2a-amd-ryzen-7pro-5850u-16gb-ram-512.md,,Passed gates,Unverified — confirm specs before scoring,fb-081,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-082,"HP Workstation Z400 W3565, 3.2Mhz, 24 GB Ram,256GB SSD , Nvidia Quadro 4000",ACTIVE,Laptop,laptop,Complete_System,1,1A,QUADRO 4000,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,400.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-082_hp-workstation-z400-w3565-32mhz-24-gb-ram256gb-ssd-nvidia-qu.md,,Passed gates,Unverified — confirm specs before scoring,fb-082,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-083,ASUS ROG Gaming Laptop w/bag,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,800.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-083_asus-rog-gaming-laptop-wbag.md,,Passed gates,Unverified — confirm specs before scoring,fb-083,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-084,"MSI GF93 Thin 9RCX - 16.5"" Laptop",ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,400.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-084_msi-gf93-thin-9rcx-165-laptop.md,,Passed gates,Unverified — confirm specs before scoring,fb-084,Candidate,,,,,,,,,,,,,,,,,,,,,,
fb-086,Dell Vostro 5510 Laptop – i7-11370H / 16GB RAM / 512GB SSD,ACTIVE,Laptop,laptop,Complete_System,1,1A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,450.0,No,,Used,UNKNOWN,Unverified,Yes,private,FB_MARKETPLACE,facebook_marketplace_2026-06-07_processed,cards/fb-086_dell-vostro-5510-laptop-i7-11370h-16gb-ram-512gb-ssd.md,,Passed gates,Unverified — confirm specs before scoring,fb-086,Candidate,,,,,,,,,,,,,,,,,,,,,,
