date_found,source_batch,track,pathway,category,item_name,price_aud,gpu_model,vram_gb,unified_memory_gb,ram_gb,cpu_model,condition,retailer,url,au_stock_confirmed,verification_status,status,notes
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Dell Alienware m18 R2 / Area-51,4499,RTX 5090 Mobile,24,UNKNOWN,64,Core Ultra 9 275HX,Refurbished,Dell Outlet / Best Buy,UNKNOWN,UNKNOWN,Unverified,Active,18-inch desktop replacement offering 24GB of mobile VRAM
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Razer Blade 18,7400,RTX 5090 Mobile,24,UNKNOWN,64,Core Ultra 9 275HX,New,Razer AU,UNKNOWN,UNKNOWN,Unverified,Active,Highly premium CNC-milled unibody laptop featuring Thunderbolt 5
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,MSI Crosshair 18 HX AI,UNKNOWN,RTX 5070 Mobile,16,UNKNOWN,32,Core Ultra 9 275HX,New,PB Tech AU,UNKNOWN,UNKNOWN,Unverified,Active,High-end 18-inch laptop delivering strong AI performance
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Lenovo ThinkPad T14 / T14s (Refurbished),800,UNKNOWN,UNKNOWN,UNKNOWN,32,Intel i5/i7,Refurbished,Australian Computer Traders,UNKNOWN,UNKNOWN,Unverified,Active,The absolute best companion device for a desktop-first strategy
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Dell Latitude 7330 2-in-1 (Refurbished),1254,UNKNOWN,UNKNOWN,UNKNOWN,32,12th-gen Intel i5/i7,Refurbished,Australian Computer Traders,UNKNOWN,UNKNOWN,Unverified,Active,Excellent portable cloud-first companion with a touchscreen
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,OKINOS Studio Pro - RTX 5070 Ti/3090,3599,RTX 5070 Ti,16,UNKNOWN,32,Intel i9-14900KF,New,Mike PC AU,https://mikepc.com.au/products/okinos-studio-pro-rtx-5070-ti-intel-i9-14900kf?variant=43641754124366,UNKNOWN,Unverified,Active,Topaz Snow PC equivalent prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,DIY Build,Budget build,899,RTX 4060 Ti,16,UNKNOWN,32,Ryzen 5 5600X,New,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Best for beginners; students; Ollama on a budget
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,DIY Build,Mid-range build,1599,RTX 4070 Super,12,UNKNOWN,64,Ryzen 7 7700X,New,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Best for developers; enthusiasts; 90% of local LLM use cases
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,DIY Build,Pro build,2899,RTX 4090,24,UNKNOWN,96,Ryzen 9 7900X,New,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Best for researchers; heavy fine-tuning
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,ASUS ROG Strix GeForce RTX 3090 OC 24GB GDDR6X,1591.98,RTX 3090,24,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,grayfox319,UNKNOWN,UNKNOWN,Unverified,Active,eBay auction item
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,NVIDIA GeForce RTX 3090 24GB 2SLOT Turbo Blower,1739.49,RTX 3090,24,UNKNOWN,UNKNOWN,UNKNOWN,New,yzhan-695,UNKNOWN,UNKNOWN,Unverified,Active,Blower type GPU
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Gaming PC Intel i9-12th Gen NVIDIA RTX 3090,5271.98,RTX 3090,24,UNKNOWN,32,i9-12th Gen,New,sukkdawod-0,UNKNOWN,UNKNOWN,Unverified,Active,eBay prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Gaming PC Jonsbo MOD 5 ASRock x570 Aqua,3898.30,RTX 3090,24,UNKNOWN,128,Ryzen 9 5950X,Refurbished,ale_deconno,UNKNOWN,UNKNOWN,Unverified,Active,eBay custom build
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Skytech Prism 4 Gaming PC,6599.98,RTX 5090,32,UNKNOWN,32,Ryzen 7 9800X3D,New,Newegg,https://www.newegg.com/skytech-gaming-desktop-pcs-geforce-rtx-5090-amd-ryzen-7-9800x3d-32gb-ddr5-2tb-nvme-ssd-st-prism4-1793-b-al-black/p/3D5-000Z-002D9,UNKNOWN,Unverified,Active,High-end 5090 prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,HP OMEN 45L GT22-3090 Gaming PC,7499.98,RTX 5090,32,UNKNOWN,64,Core Ultra 9 285K,New,Newegg,https://www.newegg.com/hp-gaming-desktop-pcs-nvidia-geforce-rtx-5090-32gb-gddr7-intel-core-ultra-9-285k-64gb-ddr5-2tb-nvme-ssd-omen-45l-black/p/3D5-0005-03SF5,UNKNOWN,Unverified,Active,OEM high-end 5090 prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,CLX Horus Gaming Desktop,9899.98,RTX 5090,32,UNKNOWN,96,Ryzen 9 9950X3D,New,Newegg,https://www.newegg.com/clx-horus-gaming-desktop-pcs-nvidia-geforce-rtx-5090-amd-ryzen-9-9950x3d-96gb-ddr5-2-tb-ssd-8tb-hdd-tgmhorrtz5305bm-black/p/3D5-000B-00312,UNKNOWN,Unverified,Active,Extreme tier 5090 desktop
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,Gigabyte Radeon RX 9070 XT Gaming OC Ice 16G,1235.40,RX 9070 XT,16,UNKNOWN,UNKNOWN,UNKNOWN,New,Dick Smith,https://www.dicksmith.com.au/da/buy/umart-online-gigabyte-radeon-rx-9070-xt-gaming-oc-ice-16g-graphics-card-gv-r907xgamingocice-16gd-90749/,UNKNOWN,Unverified,Active,GPU component
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dual RTX 4090 24GB GPU Pro Workstation,11998.50,RTX 4090,48,UNKNOWN,UNKNOWN,UNKNOWN,New,Green Beast Gaming,https://greenbeastgaming.com/products/dual-rtx-4090-24gb-gpu-pro-workstation-intel-pure-501-black,UNKNOWN,Unverified,Active,Dual 4090 workstation
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dual RTX 5090 32GB GPU Pro Workstation,14998.50,RTX 5090,64,UNKNOWN,UNKNOWN,UNKNOWN,New,Green Beast Gaming,https://greenbeastgaming.com/products/dual-rtx-5090-32gb-gpu-pro-workstation-intel-pure-501-black,UNKNOWN,Unverified,Active,Dual 5090 workstation
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,GIGABYTE AORUS GeForce RTX 5090 Master Ice 32G,6499.00,RTX 5090,32,UNKNOWN,UNKNOWN,UNKNOWN,New,Amazon AU,https://www.amazon.com.au/dp/B0DVCB1NN1,UNKNOWN,Unverified,Active,GPU component
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,ZOTAC Gaming GeForce RTX 5090 Solid OC,6569.95,RTX 5090,32,UNKNOWN,UNKNOWN,UNKNOWN,New,Amazon AU,https://www.amazon.com.au/dp/B0F1YG5STN,UNKNOWN,Unverified,Active,GPU component
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,TOPAZ SNOW PC,2699.00,RTX 5070 Ti,16,UNKNOWN,32,Ryzen 7 7700,New,Mike PC AU,UNKNOWN,UNKNOWN,Unverified,Active,Prebuilt desktop
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,VISION ONYX PC,3999.00,RTX 5080,16,UNKNOWN,32,Ryzen 7 9800X3D,New,Mike PC AU,UNKNOWN,UNKNOWN,Unverified,Active,Prebuilt desktop
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Lenovo ThinkStation P330 Tiny Desktop,469.00,UNKNOWN,UNKNOWN,UNKNOWN,16,Core i7-8700,Refurbished,Recompute,https://www.recompute.com.au/lenovo-thinkstation-p330-tiny-desktop-intel-core-i7-8700-16gb-ram-256gb-ssd/,UNKNOWN,Unverified,Active,Tiny desktop for basic tasks
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Specialized EVGA 3090 Custom Build,2953,RTX 3090,24,UNKNOWN,16,Core i9-12900K,Refurbished,Tech Junction,UNKNOWN,UNKNOWN,Unverified,Active,Custom built using EVGA 3090
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Alienware 16 Area-51 new config,4198.70,RTX 5070 Ti Mobile,16,UNKNOWN,16,Core Ultra 9 290HX,New,Dell AU,UNKNOWN,UNKNOWN,Unverified,Active,Expensive for only 16GB VRAM; weak value for FLUX-class local image work
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Thermaltake Horizon Xtreme tower + X1 Carbon,4543,RTX 4080 Super,16,UNKNOWN,32,Ryzen 7 7800X3D,New,Umart + Australian Computer Traders,UNKNOWN,UNKNOWN,Unverified,Active,16GB VRAM limits 32B local coding models; pairing slightly over budget
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Mini PC,Minisforum AI X1 Pro + DEG2 + RTX 5070 Ti,3633.19,RTX 5070 Ti,16,UNKNOWN,32,Ryzen AI 9 HX 370,New,Amazon AU + Scorptec,UNKNOWN,UNKNOWN,Unverified,Active,Better compact build; pay a modularity tax instead of buying a simpler tower
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Mini PC,Minisforum X1 Lite + DEG1 + RTX 5070 Ti,2851.98,RTX 5070 Ti,16,UNKNOWN,32,Ryzen 7 255,New,Amazon AU + Scorptec,UNKNOWN,UNKNOWN,Unverified,Active,More cables; more setup friction; less elegance than a tower
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Recompute Dell Precision 5820 Tower + ACT ThinkPad,3558,RTX 3090,24,UNKNOWN,64,Xeon W-2235,Refurbished,Recompute + Australian Computer Traders,UNKNOWN,UNKNOWN,Unverified,Active,Older workstation platform; not pretty or especially quiet
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,ACT Dell 3650 + A4000,1800,RTX A4000,16,UNKNOWN,128,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Moderate performance
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,HP Z4 G4 + used 3090,2800,RTX 3090,24,UNKNOWN,128,UNKNOWN,Refurbished,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Strong FP16 performance
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,PLE Pixel 5070 Ti,3799,RTX 5070 Ti,16,UNKNOWN,32,UNKNOWN,New,PLE Computers,UNKNOWN,UNKNOWN,Unverified,Active,Strong quiet build
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Scorptec Eclipse RTX 5070 Ti Gaming PC,3399,RTX 5070 Ti,16,UNKNOWN,32,Core Ultra 7 265K,New,Scorptec,UNKNOWN,UNKNOWN,Verified,Active,Tier-down option
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,MSI Stealth A16 5080,4999,RTX 5080 Mobile,16,UNKNOWN,32,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Unverified,Active,Loud under load
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Acer Predator Orion 7000 RTX 4080 refurbished,3699,RTX 4080,16,UNKNOWN,32,i9-14900K,Refurbished,Acer AU Clearance,UNKNOWN,UNKNOWN,Unverified,Active,Refurbished prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Alienware Aurora R12 RTX 3090 refurbished,3884,RTX 3090,24,UNKNOWN,32,i9-11900K,Refurbished,Dick Smith / UN Tech,https://www.dicksmith.com.au/,UNKNOWN,Unverified,Active,Solid consumer-oriented pre-built option to secure 24GB of VRAM
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Metrocom Custom 5700X RTX 4070 Super,2350,RTX 4070 Super,12,UNKNOWN,32,Ryzen 7 5700X,New,Metrocom,https://metrocom.com.au/best-gaming-pcs-australia-2025/,UNKNOWN,Unverified,Active,Custom gaming PC
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Nebula PC Titan Ryzen 7 7800X3D RTX 5070,2238,RTX 5070,12,UNKNOWN,32,Ryzen 7 7800X3D,New,Nebula PC via OzBargain,https://www.ozbargain.com.au/node/900497,UNKNOWN,Unverified,Active,Gaming PC via OzBargain
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,PLE Sidekick RTX 4070 Super EX-DEMO,3079,RTX 4070 Super,12,UNKNOWN,UNKNOWN,Core i5-14400,Open Box,PLE Computers,https://www.ple.com.au/products/684114/ex-demo-ple-sidekick-rtx-4070-super-prebuilt-ready-to-go-gaming-pc-co-demo,UNKNOWN,Unverified,Active,Low stock
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Acer Predator Helios 18 RTX 4090 refurbished,4449,RTX 4090 Mobile,16,UNKNOWN,32,i9-14900HX,Refurbished,Acer AU Clearance,https://store.acer.com/en-au/clearances/laptop,UNKNOWN,Unverified,Active,Desktop Replacement
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,Acer Predator Helios Neo 16S AI RTX 5060,2399,RTX 5060,8,UNKNOWN,32,Core Ultra 9 275HX,Refurbished,Acer AU Clearance,https://store.acer.com/en-au/,UNKNOWN,Unverified,Active,Refurbished entry level laptop
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,ERAZER Major X20 RTX 4070,2999,RTX 4070,8,UNKNOWN,32,i9-14900HX,New,ERAZER AU,https://erazer.com.au/collections/16-inch-screen-size,UNKNOWN,Unverified,Active,Not recommended due to 8GB VRAM
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,CONSTELLAR ONYX PC — RTX 4080 SUPER,4099,RTX 4080 Super,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Mike PC AU,UNKNOWN,UNKNOWN,Unverified,Active,Watchlist candidate
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Scorptec 32-Core Compute Platform,UNKNOWN,RTX PRO 4000,16,UNKNOWN,UNKNOWN,Threadripper 9970X,New,Scorptec,UNKNOWN,UNKNOWN,Unverified,Active,Professional workstation
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Scorptec Blackwell PRO Workstation,UNKNOWN,RTX PRO 5000 Blackwell,48,UNKNOWN,UNKNOWN,UNKNOWN,New,Scorptec,UNKNOWN,UNKNOWN,Unverified,Active,Professional workstation supported by ECC memory
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC,1229,RX 7900 XTX,24,UNKNOWN,UNKNOWN,UNKNOWN,New,Scorptec,UNKNOWN,UNKNOWN,Verified,Active,Exceptionally aggressive price for a 24GB VRAM card backed by a full 3-year warranty
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,NVIDIA RTX PRO 6000,15999.00,RTX PRO 6000,96,UNKNOWN,UNKNOWN,UNKNOWN,New,Mwave,https://www.mwave.com.au/product/nvidia-rtx-pro-6000-blackwell-96gb-professional-video-card-workstation-edition-ac86472,UNKNOWN,Unverified,Out of Stock,Workstation Edition; GDDR7 ECC
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,HP Z8 FURY G5 Workstation,44205.95,RTX 6000 Ada,48,UNKNOWN,128,XEON W9-3475X,New,Mwave,https://www.mwave.com.au/product/hp-z8-fury-g5-workstation-xeon-w93475x-128gb-6tb-rtx-6000-ada-w11p-ac81318,UNKNOWN,Unverified,Out of Stock,High end fury workstation
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,NVIDIA RTX 6000 96GB GDDR7 Professional Video Card,15499.00,RTX 6000,96,UNKNOWN,UNKNOWN,UNKNOWN,New,Mwave,https://www.mwave.com.au/product/nvidia-rtx-6000-96gb-gddr7-professional-video-card-blackwell-server-edition-ac84368,UNKNOWN,Unverified,Out of Stock,Blackwell Server Edition
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,AMD Radeon Pro W7900 48GB ECC GDDR6,UNKNOWN,Radeon Pro W7900,48,UNKNOWN,UNKNOWN,UNKNOWN,New,PBTech.com,https://www.pbtech.com/au/product/VGAAMD017900/AMD-Radeon-Pro-W7900-48GB-ECC-GDDR6-Workstation-Gr,UNKNOWN,Unverified,Active,Workstation GPU
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Allied M.O.A.B-A: RTX 5090 32GB Gaming PC,UNKNOWN,RTX 5090,32,UNKNOWN,UNKNOWN,Ryzen 7 9800X3D,New,Allied Gaming,https://www.alliedgamingpc.com.au/allied-moab-a-ready-to-ship-gaming-pc-ryzen-7-9800X3D-rtx-5090-32gb/,UNKNOWN,Unverified,Active,Prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Scorptec Vengeance RTX 5090 Gaming PC,UNKNOWN,RTX 5090,32,UNKNOWN,UNKNOWN,UNKNOWN,New,Scorptec,https://www.scorptec.com.au/product/ready-to-run-pcs/gaming-pc/121620-r2r10544,UNKNOWN,Unverified,Active,Prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,AETHER : LVL 10 ICE MAX RTX 5090 Desktop PC,UNKNOWN,RTX 5090,32,UNKNOWN,64,Ryzen 9 9950X3D,New,Aftershock PC,https://aftershockpc.com.au/products/aether-lvl-10-ice-max-r9-9950x3d-rtx-5090-1,UNKNOWN,Unverified,Active,Prebuilt
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dell OptiPlex 5060 SFF,238.99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,ReUse Computers,https://reusecomputers.com/products/dell-optiplex-5060-sff,UNKNOWN,Unverified,Active,Desktop
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Desktop,Dell Precision 5820 Tower Workstation (32GB RAM),2399.00,RTX 3090,24,UNKNOWN,32,Xeon W-2235,Refurbished,Recompute,https://www.recompute.com.au/dell-precision-5820-tower-workstation-intel-xeon-w-2235-32gb-ram-1tb-ssd-2tb-ssd-nvidia-geforce-rtx-3090/,UNKNOWN,Unverified,Active,Tower Workstation
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,EVGA FTW3 Ultra RTX 3090,1318,RTX 3090,24,UNKNOWN,UNKNOWN,UNKNOWN,Refurbished,Outworld Systems,UNKNOWN,UNKNOWN,Needs Verification,Active,Grade A condition; 1-yr eBay warranty; Converted from USD
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,Intel Arc Pro B70,1423,Arc Pro B70,32,UNKNOWN,UNKNOWN,UNKNOWN,New,UNKNOWN,UNKNOWN,UNKNOWN,Needs Verification,Active,Budget option with 32GB VRAM; Converted from USD
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,NVIDIA RTX 5000 Ada 32GB,6368,RTX 5000 Ada,32,UNKNOWN,UNKNOWN,UNKNOWN,New,ITC Solutions,https://itc-solutions.com.au/products/nvidia-rtx-5000-ada-32gb?pr_prod_strat=e5_desc&pr_rec_id=b5419423c&pr_rec_pid=7588252614750&pr_ref_pid=7588429758558&pr_seq=uniform,Yes,Verified,Active,Reduced from $8375
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Component,NVIDIA RTX 2000 Ada 16GB,1233,RTX 2000 Ada,16,UNKNOWN,UNKNOWN,UNKNOWN,New,ITC Solutions,https://itc-solutions.com.au/products/nvidia-rtx-2000-ada-16gb-1?pr_prod_strat=e5_desc&pr_rec_id=b5419423c&pr_rec_pid=7588430282846&pr_ref_pid=7588429758558&pr_seq=uniform,Yes,Verified,Active,Reduced from $1359
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Mini PC,GPD WIN 5,UNKNOWN,Radeon 8060S,UNKNOWN,UNKNOWN,128,Ryzen AI Max 395,New,GPD,UNKNOWN,UNKNOWN,Needs Verification,Active,7-inch handheld format; dual M.2 slots
2026-05-05,notebooklm_batch1,UNKNOWN,UNKNOWN,Laptop,HP ZBook Ultra 14 G1a,UNKNOWN,Radeon 8060S,UNKNOWN,UNKNOWN,128,Ryzen AI MAX 395+,New,HP,UNKNOWN,UNKNOWN,Needs Verification,Active,Premium mobile workstation; 14-inch OLED
